子分类,接口名称 (Function),说明 (Description),详细描述,限量,输入参数
沪深港通,stock_hsgt_fund_flow_summary_em,沪深港通资金流向,东方财富网-数据中心-资金流向-沪深港通资金流向,单次获取沪深港通资金流向数据,
沪深港通,stock_hsgt_individual_em,沪深港通持股-具体股票,东方财富网-数据中心-沪深港通-沪深港通持股-具体股票,单次获取指定 symbol 的截至 20240816 的数据,"| 名称     | 类型  | 描述                       |
|--------|-----|--------------------------|
| symbol | str | symbol=""002008""; 支持港股和A股 |"
沪深港通,stock_hsgt_individual_detail_em,沪深港通持股-具体股票-详情,东方财富网-数据中心-沪深港通-沪深港通持股-具体股票-个股详情,单次获取指定 symbol 的在 start_date 和 end_date 之间的所有数据; 注意只能返回 90 个交易日内的数据,"| 名称         | 类型  | 描述                                              |
|------------|-----|-------------------------------------------------|
| symbol     | str | symbol=""002008""                                 |
| start_date | str | start_date=""20210830""; 注意只能返回离最近交易日 90 个交易日内的数据 |
| end_date   | str | end_date=""20211026""; 注意只能返回离最近交易日 90 个交易日内的数据   |"
沪深港通,stock_hsgt_fund_min_em,东方财富-数据中心-沪深港通-市场概括-分时数据,东方财富-数据中心-沪深港通-市场概括-分时数据,单次返回指定 symbol 的所有数据,"| 名称     | 类型  | 描述                                        |
|--------|-----|-------------------------------------------|
| symbol | str | symbol=""北向资金""; choice of {""北向资金"", ""南向资金""} |"
沪深港通,stock_hsgt_sh_hk_spot_em,东方财富网-行情中心-沪深港通-港股通(沪>港)-股票,东方财富网-行情中心-沪深港通-港股通(沪>港)-股票；按股票代码排序,单次获取所有数据,
沪深港通,stock_sgt_settlement_exchange_rate_szse,深港通-港股通业务信息-结算汇率,深港通-港股通业务信息-结算汇率,单次获取所有深港通结算汇率数据,
沪深港通,stock_sgt_reference_exchange_rate_szse,深港通-港股通业务信息-参考汇率,深港通-港股通业务信息-参考汇率,单次获取所有深港通参考汇率数据,
沪深港通,stock_sgt_reference_exchange_rate_sse,沪港通-港股通信息披露-参考汇率,沪港通-港股通信息披露-参考汇率,单次获取所有沪港通参考汇率数据,
沪深港通,stock_sgt_settlement_exchange_rate_sse,沪港通-港股通信息披露-结算汇兑,沪港通-港股通信息披露-结算汇兑,单次获取所有沪港通结算汇率数据,
融资融券,stock_margin_sse,上海证券交易所-融资融券汇总,上海证券交易所-融资融券数据-融资融券汇总数据,单次返回指定时间段内的所有历史数据,"| 名称         | 类型  | 描述                    |
|------------|-----|-----------------------|
| start_date | str | start_date=""20010106"" |
| end_date   | str | end_date=""20010106""   |"
融资融券,stock_margin_detail_sse,上海证券交易所-融资融券详情,上海证券交易所-融资融券数据-融资融券明细数据,单次返回交易日的所有历史数据,"| 名称   | 类型  | 描述              |
|------|-----|-----------------|
| date | str | date=""20210205"" |"
融资融券,stock_margin_underlying_info_szse,标的证券信息,深圳证券交易所-融资融券数据-标的证券信息,单次返回交易日的所有历史数据,"| 名称   | 类型  | 描述              |
|------|-----|-----------------|
| date | str | date=""20210205"" |"
融资融券,stock_margin_detail_szse,融资融券明细,深证证券交易所-融资融券数据-融资融券交易明细数据,单次返回指定 date 的所有历史数据,"| 名称   | 类型  | 描述              |
|------|-----|-----------------|
| date | str | date=""20220118"" |"
融资融券,stock_margin_szse,融资融券汇总,深圳证券交易所-融资融券数据-融资融券汇总数据,单次返回指定时间内的所有历史数据,"| 名称   | 类型  | 描述                    |
|------|-----|-----------------------|
| date | str | date=""20240411""; 交易日期 |"
融资融券,stock_margin_account_info,东方财富网-数据中心-融资融券-融资融券账户统计-两融账户信息,东方财富网-数据中心-融资融券-融资融券账户统计-两融账户信息,单次返回所有历史数据,
融资融券,stock_margin_ratio_pa,融资融券-标的证券名单及保证金比例查询,融资融券-标的证券名单及保证金比例查询,单次返回指定交易日的所有历史数据,"| 名称   | 类型  | 描述              |
|------|-----|-----------------|
| date | str | date=""20231013"" |"
特色/统计,stock_gpzy_profile_em,股权质押市场概况,东方财富网-数据中心-特色数据-股权质押-股权质押市场概况,"单次所有历史数据, 由于数据量比较大需要等待一定时间",
特色/统计,stock_gpzy_pledge_ratio_em,上市公司质押比例,东方财富网-数据中心-特色数据-股权质押-上市公司质押比例,单次返回指定交易日的所有历史数据; 其中的交易日需要根据网站提供的为准; 请访问 http://data.eastmoney.com/gpzy/pledgeRatio.aspx 查询具体交易日,"| 名称   | 类型  | 描述                                                                           |
|------|-----|------------------------------------------------------------------------------|
| date | str | date=""20240906""; 请访问 http://data.eastmoney.com/gpzy/pledgeRatio.aspx 查询具体交易日 |"
特色/统计,stock_gpzy_pledge_ratio_detail_em,重要股东股权质押明细,东方财富网-数据中心-特色数据-股权质押-重要股东股权质押明细,"单次所有历史数据, 由于数据量比较大需要等待一定时间",
特色/统计,stock_gpzy_distribute_statistics_company_em,质押机构分布统计-证券公司,东方财富网-数据中心-特色数据-股权质押-质押机构分布统计-证券公司,单次返回当前时点所有历史数据,
特色/统计,stock_gpzy_distribute_statistics_bank_em,质押机构分布统计-银行,东方财富网-数据中心-特色数据-股权质押-质押机构分布统计-银行,单次返回当前时点所有历史数据,
特色/统计,stock_gpzy_industry_data_em,上市公司质押比例-行业数据,东方财富网-数据中心-特色数据-股权质押-上市公司质押比例-行业数据,单次返回所有历史数据,
特色/统计,stock_sy_profile_em,A股商誉市场概况,东方财富网-数据中心-特色数据-商誉-A股商誉市场概况,单次所有历史数据,
特色/统计,stock_sy_yq_em,商誉减值预期明细,东方财富网-数据中心-特色数据-商誉-商誉减值预期明细,单次所有历史数据,"| 名称   | 类型  | 描述                      |
|------|-----|-------------------------|
| date | str | date=""20221231""; 参见网页选项 |"
特色/统计,stock_sy_jz_em,个股商誉减值明细,东方财富网-数据中心-特色数据-商誉-个股商誉减值明细,单次返回所有历史数据,"| 名称   | 类型  | 描述                      |
|------|-----|-------------------------|
| date | str | date=""20230331""; 参见网页选项 |"
特色/统计,stock_sy_em,个股商誉明细,东方财富网-数据中心-特色数据-商誉-个股商誉明细,单次返回所有历史数据,"| 名称   | 类型  | 描述                      |
|------|-----|-------------------------|
| date | str | date=""20240630""; 参见网页选项 |"
特色/统计,stock_sy_hy_em,行业商誉,东方财富网-数据中心-特色数据-商誉-行业商誉,单次返回所有历史数据,"| 名称   | 类型  | 描述                      |
|------|-----|-------------------------|
| date | str | date=""20240930""; 参见网页选项 |"
特色/统计,stock_market_pe_lg,乐咕乐股-主板市盈率,乐咕乐股-主板市盈率,单次获取指定 symbol 的所有数据,"| 名称     | 类型  | 描述                                                |
|--------|-----|---------------------------------------------------|
| symbol | str | symbol=""上证""; choice of {""上证"", ""深证"", ""创业板"", ""科创版""} |"
特色/统计,stock_market_pb_lg,乐咕乐股-主板市净率,乐咕乐股-主板市净率,单次获取指定 symbol 的所有数据,"| 名称     | 类型  | 描述                                                |
|--------|-----|---------------------------------------------------|
| symbol | str | symbol=""上证""; choice of {""上证"", ""深证"", ""创业板"", ""科创版""} |"
特色/统计,stock_register_kcb,IPO审核信息-科创板,东方财富网-数据中心-新股数据-IPO审核信息-科创板,单次返回所有历史数据,
特色/统计,stock_register_cyb,IPO审核信息-创业板,东方财富网-数据中心-新股数据-IPO审核信息-创业板,单次返回所有历史数据,
特色/统计,stock_register_bj,IPO审核信息-北交所,东方财富网-数据中心-新股数据-IPO审核信息-北交所,单次返回所有历史数据,
特色/统计,stock_register_sh,IPO审核信息-上海主板,东方财富网-数据中心-新股数据-IPO审核信息-上海主板,单次返回所有历史数据,
特色/统计,stock_register_sz,IPO审核信息-深圳主板,东方财富网-数据中心-新股数据-IPO审核信息-深圳主板,单次返回所有历史数据,
特色/统计,stock_register_db,注册制审核-达标企业,东方财富网-数据中心-新股数据-注册制审核-达标企业,单次返回所有历史数据,
特色/统计,stock_dzjy_sctj,大宗交易-市场统计,东方财富网-数据中心-大宗交易-市场统计,单次返回所有历史数据,
特色/统计,stock_dzjy_mrmx,大宗交易-每日明细,东方财富网-数据中心-大宗交易-每日明细,单次返回所有历史数据,"| 名称         | 类型  | 描述                                              |
|------------|-----|-------------------------------------------------|
| symbol     | str | symbol='债券'; choice of {'A股', 'B股', '基金', '债券'} |
| start_date | str | start_date='20201123'; 开始日期                     |
| end_date   | sr  | end_date='20201204'; 结束日期                       |"
特色/统计,stock_dzjy_mrtj,大宗交易-每日统计,东方财富网-数据中心-大宗交易-每日统计,单次返回所有历史数据,"| 名称         | 类型  | 描述                          |
|------------|-----|-----------------------------|
| start_date | str | start_date='20220105'; 开始日期 |
| end_date   | sr  | end_date='20220105'; 结束日期   |"
特色/统计,stock_dzjy_hygtj,大宗交易-活跃 A 股统计,东方财富网-数据中心-大宗交易-活跃 A 股统计,单次返回所有历史数据,"| 名称     | 类型  | 描述                                                   |
|--------|-----|------------------------------------------------------|
| symbol | str | symbol='近三月'; choice of {'近一月', '近三月', '近六月', '近一年'} |"
特色/统计,stock_szse_summary,深圳证券交易所-市场总貌-证券类别统计,深圳证券交易所-市场总貌-证券类别统计,单次返回指定 date 的市场总貌数据-证券类别统计(当前交易日的数据需要交易所收盘后统计),"| 名称   | 类型  | 描述                                  |
|------|-----|-------------------------------------|
| date | str | date=""20200619""; 当前交易日的数据需要交易所收盘后统计 |"
特色/统计,stock_szse_sector_summary,深圳证券交易所-统计资料-股票行业成交,深圳证券交易所-统计资料-股票行业成交数据,单次返回指定 symbol 和 date 的统计资料-股票行业成交数据,"| 名称     | 类型  | 描述                                  |
|--------|-----|-------------------------------------|
| symbol | str | symbol=""当月""; choice of {""当月"", ""当年""} |
| date   | str | date=""202501""; 年月                   |"
特色/统计,stock_sse_summary,上海证券交易所-股票数据总貌,上海证券交易所-股票数据总貌,单次返回最近交易日的股票数据总貌(当前交易日的数据需要交易所收盘后统计),
特色/统计,stock_sse_deal_daily,上海证券交易所-每日股票情况,上海证券交易所-数据-股票数据-成交概况-股票成交概况-每日股票情况,"单次返回指定日期的每日概况数据, 当前交易日数据需要在收盘后获取; 注意仅支持获取在 20211227（包含）之后的数据","| 名称   | 类型  | 描述                                                              |
|------|-----|-----------------------------------------------------------------|
| date | str | date=""20250221""; 当前交易日的数据需要交易所收盘后统计; 注意仅支持获取在 20211227（包含）之后的数据 |"
特色/统计,stock_ipo_declare_em,首发企业申报,东方财富网-数据中心-新股申购-首发申报信息-首发申报企业信息,单次返回所有历史数据,
特色/统计,stock_ggcg_em,高管持股,东方财富网-数据中心-特色数据-高管持股,单次获取所有高管持股数据数据,"| 名称     | 类型  | 描述                                            |
|--------|-----|-----------------------------------------------|
| symbol | str | symbol=""全部""; choice of {""全部"", ""股东增持"", ""股东减持""} |"
特色/统计,stock_market_activity_legu,赚钱效应分析,乐咕乐股网-赚钱效应分析数据,单次返回当前赚钱效应分析数据,"| 名称     | 类型  | 描述                                 |
|--------|-----|------------------------------------|
| symbol | str | symbol=""全部""；choice of {""全部"", ""重点""} |
| symbol | str | symbol=""创月新高""; choice of {""创月新高"", ""半年新高"", ""一年新高"", ""历史新高""} |
| symbol | str | symbol=""创月新低""; choice of {""创月新低"", ""半年新低"", ""一年新低"", ""历史新低""} |"
特色/统计,stock_qbzf_em,增发,东方财富网-数据中心-新股数据-增发-全部增发,单次返回所有历史数据,
特色/统计,stock_pg_em,配股,东方财富网-数据中心-新股数据-配股,单次返回所有历史数据,
特色/统计,stock_rank_forecast_cninfo,股票-投资评级,巨潮资讯-数据中心-评级预测-投资评级,单次获取指定交易日的所有数据,"| 名称   | 类型  | 描述                   |
|------|-----|----------------------|
| date | str | date=""20210910""; 交易日 |"
特色/统计,stock_industry_pe_ratio_cninfo,股票-行业市盈率,巨潮资讯-数据中心-行业分析-行业市盈率,单次获取指定 symbol 在指定交易日的所有数据; 只能获取近期的数据,"| 名称     | 类型  | 描述                                                |
|--------|-----|---------------------------------------------------|
| symbol | str | symbol=""证监会行业分类""; choice of {""证监会行业分类"", ""国证行业分类""} |
| date   | str | date=""20210910""; 交易日                              |"
特色/统计,stock_new_gh_cninfo,新股-新股过会,巨潮资讯-数据中心-新股数据-新股过会,单次获取近一年所有新股过会的数据,
特色/统计,stock_new_ipo_cninfo,新股-IPO,巨潮资讯-数据中心-新股数据-新股发行,单次获取近三年所有新股发行的数据,
特色/统计,stock_hold_num_cninfo,股东人数及持股集中度,巨潮资讯-数据中心-专题统计-股东股本-股东人数及持股集中度,"单次指定 date 的股东人数及持股集中度数据, 从 20170331 开始","| 名称   | 类型  | 描述                                                                                         |
|------|-----|--------------------------------------------------------------------------------------------|
| date | str | date=""20210630""; choice of {""XXXX0331"", ""XXXX0630"", ""XXXX0930"", ""XXXX1231""}; 从 20170331 开始 |"
特色/统计,stock_hold_control_cninfo,实际控制人持股变动,巨潮资讯-数据中心-专题统计-股东股本-实际控制人持股变动,"单次指定 symbol 的实际控制人持股变动数据, 从 2010 开始","| 名称     | 类型  | 描述                                                                         |
|--------|-----|----------------------------------------------------------------------------|
| symbol | str | symbol=""全部""; choice of {""单独控制"", ""实际控制人"", ""一致行动人"", ""家族控制"", ""全部""}; 从 2010 开始 |"
特色/统计,stock_hold_management_detail_cninfo,高管持股变动明细,巨潮资讯-数据中心-专题统计-股东股本-高管持股变动明细,"单次指定 symbol 的高管持股变动明细数据, 返回近一年的数据","| 名称     | 类型  | 描述                                  |
|--------|-----|-------------------------------------|
| symbol | str | symbol=""增持""; choice of {""增持"", ""减持""} |"
特色/统计,stock_hold_change_cninfo,巨潮资讯-数据中心-专题统计-股东股本-股本变动,巨潮资讯-数据中心-专题统计-股东股本-股本变动,单次指定 symbol 的股本变动数据,"| 名称     | 类型  | 描述                                                               |
|--------|-----|------------------------------------------------------------------|
| symbol | str | symbol=""全部""; choice of {""深市主板"", ""沪市"", ""创业板"", ""科创板"", ""北交所"", ""全部""} |"
特色/统计,stock_cg_equity_mortgage_cninfo,公司治理-股权质押,巨潮资讯-数据中心-专题统计-公司治理-股权质押,单次指定 date 的股权质押数据,"| 名称   | 类型  | 描述              |
|------|-----|-----------------|
| date | str | date=""20210930"" |"
特色/统计,stock_notice_report,公告大全-沪深 A 股公告,东方财富网-数据中心-公告大全-沪深京 A 股公告,单次获取指定 symbol 和 date 的数据,"| 名称     | 类型  | 描述                                                                                      |
|--------|-----|-----------------------------------------------------------------------------------------|
| symbol | str | symbol='财务报告'; choice of {""全部"", ""重大事项"", ""财务报告"", ""融资公告"", ""风险提示"", ""资产重组"", ""信息变更"", ""持股变动""} |
| date   | str | date=""20220511""; 指定日期                                                                   |"
特色/统计,stock_repurchase_em,股票回购数据,东方财富网-数据中心-股票回购-股票回购数据,单次返回所有历史数据,
特色/统计,stock_inner_trade_xq,内部交易,雪球-行情中心-沪深股市-内部交易,单次返回所有历史数据,
特色/统计,stock_zh_a_gbjg_em,股本结构,东方财富-A股数据-股本结构,单次返回所有历史数据,"| 名称     | 类型  | 描述                 |
|--------|-----|--------------------|
| symbol | str | symbol=""603392.SH"" |"
特色/统计,stock_zh_growth_comparison_em,行情中心-同行比较-成长性比较,东方财富-行情中心-同行比较-成长性比较,单次返回全部数据,"| 名称         | 类型  | 描述                    |
|------------|-----|-----------------------|
| symbol     | str | symbol=""SZ000895""     |"
特色/统计,stock_zh_valuation_comparison_em,行情中心-同行比较-估值比较,东方财富-行情中心-同行比较-估值比较,单次返回全部数据,"| 名称         | 类型  | 描述                    |
|------------|-----|-----------------------|
| symbol     | str | symbol=""SZ000895""     |"
特色/统计,stock_zh_dupont_comparison_em,行情中心-同行比较-杜邦分析比较,东方财富-行情中心-同行比较-杜邦分析比较,单次返回全部数据,"| 名称         | 类型  | 描述                    |
|------------|-----|-----------------------|
| symbol     | str | symbol=""SZ000895""     |"
特色/统计,stock_zh_scale_comparison_em,行情中心-同行比较-公司规模,东方财富-行情中心-同行比较-公司规模,单次返回全部数据,"| 名称         | 类型  | 描述                    |
|------------|-----|-----------------------|
| symbol     | str | symbol=""SZ000895""     |"
特色/统计,stock_zdhtmx_em,重大合同明细,东方财富网-数据中心-重大合同-重大合同明细,单次返回指定 start_date 和 end_date 的所有数据,"| 名称         | 类型  | 描述                    |
|------------|-----|-----------------------|
| start_date | str | start_date=""20200819"" |
| end_date   | str | end_date=""20230819""   |"
特色/统计,volatility_yz_rv,已实现波动率计算,波动率-已实现波动率-Yang-Zhang已实现波动率,单次返回日频率的已实现波动率数据,"| 名称   | 类型               | 描述                                    |
|------|------------------|---------------------------------------|
| data | pandas.DataFrame | 包含日期和 OHLC(开高低收) 价格的 pandas.DataFrame |"
